Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-08-04,105.58,106.0,105.28,105.87,25521651.0,0.57,1.0,105.58,106.0,105.28,105.87,25521651.0
2016-08-03,104.81,105.84,104.77,105.79,28765433.0,0.0,1.0,104.24872886133,105.27321307779,104.20894306652,105.22348083427,28765433.0
2016-08-02,106.05,106.07,104.0,104.48,32731069.0,0.0,1.0,105.48208850056,105.50198139797,103.44306651635,103.92049605412,32731069.0
2016-08-01,104.41,106.15,104.41,106.05,37141424.0,0.0,1.0,103.85087091319,105.5815529876,103.85087091319,105.48208850056,37141424.0
2016-07-29,104.19,104.55,103.68,104.19,27076805.0,0.0,1.0,103.63204904171,103.99012119504,103.12478015784,103.63204904171,27076805.0
2016-07-28,102.83,104.45,102.82,104.34,39869839.0,0.0,1.0,102.27933201804,103.890656708,102.26938556933,103.78124577227,39869839.0
2016-07-27,104.265,104.35,102.75,102.95,92344820.0,0.0,1.0,103.70664740699,103.79119222097,102.19976042841,102.39868940248,92344820.0
2016-07-26,96.82,97.97,96.42,96.67,56239822.0,0.0,1.0,96.301516347238,97.44535794814,95.903658399098,96.152319616685,56239822.0
2016-07-25,98.25,98.84,96.92,97.34,40382921.0,0.0,1.0,97.723858511838,98.310698985344,96.400980834273,96.81873167982,40382921.0
2016-07-22,99.26,99.3,98.31,98.66,27723802.0,0.0,1.0,98.728449830891,98.768235625705,97.783537204059,98.131662908681,27723802.0
2016-07-21,99.83,101.0,99.13,99.4,31254161.0,0.0,1.0,99.29539740699,100.4591319053,98.599145997745,98.86770011274,31254161.0
2016-07-20,100.0,100.46,99.735,99.96,25935357.0,0.0,1.0,99.464487034949,99.92202367531,99.200906144307,99.424701240135,25935357.0
2016-07-19,99.56,100.0,99.34,99.87,23572615.0,0.0,1.0,99.026843291996,99.464487034949,98.808021420519,99.335183201804,23572615.0
2016-07-18,98.7,100.13,98.6,99.83,36207995.0,0.0,1.0,98.171448703495,99.593790868095,98.07198421646,99.29539740699,36207995.0
2016-07-15,98.92,99.3,98.5,98.78,29718175.0,0.0,1.0,98.390270574972,98.768235625705,97.972519729425,98.251020293123,29718175.0
2016-07-14,97.39,98.99,97.32,98.79,38257003.0,0.0,1.0,96.868463923337,98.459895715896,96.798838782413,98.260966741826,38257003.0
2016-07-13,97.41,97.67,96.84,96.87,25358278.0,0.0,1.0,96.888356820744,97.146964487035,96.321409244645,96.351248590755,25358278.0
2016-07-12,97.17,97.7,97.12,97.42,23587981.0,0.0,1.0,96.64964205186,97.176803833145,96.599909808343,96.898303269448,23587981.0
2016-07-11,96.75,97.65,96.73,96.98,23235415.0,0.0,1.0,96.231891206313,97.127071589628,96.211998308906,96.460659526494,23235415.0
2016-07-08,96.49,96.89,96.05,96.68,28334676.0,0.0,1.0,95.973283540023,96.371141488162,95.535639797069,96.162266065389,28334676.0
2016-07-07,95.7,96.5,95.62,95.94,24095742.0,0.0,1.0,95.187514092446,95.983229988726,95.107942502819,95.42622886133,24095742.0
2016-07-06,94.6,95.66,94.37,95.53,30577802.0,0.0,1.0,94.093404735062,95.147728297632,93.864636414882,95.018424464487,30577802.0
